id,price
3546,5138395.94
27171,5138395.94
3329,5138395.94
46156,5138395.94
27435,5138395.94
73689,5138395.94
5300,5138395.94
89158,5138395.94
59397,5138395.94
49050,5138395.94
30608,5138395.94
11819,5138395.94
91555,5138395.94
88176,5138395.94
19391,5138395.94
1658,5138395.94
12604,5138395.94
81327,5138395.94
67371,5138395.94
1098,5138395.94
61274,5138395.94
62109,5138395.94
6675,5138395.94
76788,5138395.94
7214,5138395.94
3256,5138395.94
5699,5138395.94
31781,5138395.94
71436,5138395.94
24354,5138395.94
78769,5138395.94
92176,5138395.94
26377,5138395.94
25302,5138395.94
19923,5138395.94
79034,5138395.94
5929,5138395.94
40459,5138395.94
86788,5138395.94
49630,5138395.94
1570,5138395.94
69824,5138395.94
20009,5138395.94
22278,5138395.94
9256,5138395.94
26309,5138395.94
81309,5138395.94
79758,5138395.94
27903,5138395.94
41901,5138395.94
26079,5138395.94
63892,5138395.94
89402,5138395.94
53271,5138395.94
73987,5138395.94
9535,5138395.94
26617,5138395.94
89411,5138395.94
66303,5138395.94
22744,5138395.94
42728,5138395.94
44323,5138395.94
75236,5138395.94
39893,5138395.94
30508,5138395.94
4877,5138395.94
48625,5138395.94
66206,5138395.94
4517,5138395.94
56681,5138395.94
22678,5138395.94
23925,5138395.94
52337,5138395.94
47462,5138395.94
40410,5138395.94
99537,5138395.94
65521,5138395.94
84508,5138395.94
72606,5138395.94
64057,5138395.94
52590,5138395.94
77197,5138395.94
66175,5138395.94
49399,5138395.94
23141,5138395.94
97184,5138395.94
25626,5138395.94
31081,5138395.94
99930,5138395.94
6936,5138395.94
75181,5138395.94
29920,5138395.94
10005,5138395.94
82521,5138395.94
83004,5138395.94
47657,5138395.94
74952,5138395.94
45804,5138395.94
94409,5138395.94
30175,5138395.94
73168,5138395.94
72304,5138395.94
17527,5138395.94
34018,5138395.94
27585,5138395.94
31595,5138395.94
21286,5138395.94
22082,5138395.94
37662,5138395.94
14648,5138395.94
48547,5138395.94
66466,5138395.94
14470,5138395.94
23862,5138395.94
36376,5138395.94
90371,5138395.94
26160,5138395.94
9160,5138395.94
27525,5138395.94
10275,5138395.94
37915,5138395.94
9814,5138395.94
46731,5138395.94
17688,5138395.94
51237,5138395.94
20551,5138395.94
47225,5138395.94
81022,5138395.94
53833,5138395.94
40258,5138395.94
53275,5138395.94
96440,5138395.94
47521,5138395.94
85668,5138395.94
67813,5138395.94
68287,5138395.94
52598,5138395.94
58291,5138395.94
19265,5138395.94
48891,5138395.94
21987,5138395.94
23361,5138395.94
3609,5138395.94
693,5138395.94
96937,5138395.94
1738,5138395.94
9676,5138395.94
38598,5138395.94
91863,5138395.94
53145,5138395.94
11097,5138395.94
66837,5138395.94
30791,5138395.94
7457,5138395.94
45779,5138395.94
20654,5138395.94
96008,5138395.94
26915,5138395.94
81386,5138395.94
80161,5138395.94
44642,5138395.94
33164,5138395.94
57550,5138395.94
53075,5138395.94
98913,5138395.94
97114,5138395.94
32250,5138395.94
82276,5138395.94
55402,5138395.94
22677,5138395.94
70689,5138395.94
59786,5138395.94
68634,5138395.94
40792,5138395.94
68526,5138395.94
92177,5138395.94
21333,5138395.94
35311,5138395.94
84937,5138395.94
9407,5138395.94
30202,5138395.94
76419,5138395.94
19725,5138395.94
66855,5138395.94
11272,5138395.94
21383,5138395.94
35148,5138395.94
30829,5138395.94
99934,5138395.94
99829,5138395.94
40668,5138395.94
28618,5138395.94
71149,5138395.94
91800,5138395.94
77950,5138395.94
18098,5138395.94
60063,5138395.94
81470,5138395.94
97350,5138395.94
59878,5138395.94
10329,5138395.94
58883,5138395.94
66966,5138395.94
35761,5138395.94
24780,5138395.94
94484,5138395.94
94026,5138395.94
35030,5138395.94
58779,5138395.94
734,5138395.94
89850,5138395.94
52869,5138395.94
93334,5138395.94
77793,5138395.94
79498,5138395.94
18395,5138395.94
75894,5138395.94
14210,5138395.94
94472,5138395.94
94372,5138395.94
77798,5138395.94
78250,5138395.94
51036,5138395.94
47865,5138395.94
58524,5138395.94
11429,5138395.94
16293,5138395.94
95537,5138395.94
53654,5138395.94
10073,5138395.94
40818,5138395.94
1708,5138395.94
42832,5138395.94
82885,5138395.94
41400,5138395.94
34667,5138395.94
42488,5138395.94
62587,5138395.94
11864,5138395.94
14829,5138395.94
5161,5138395.94
87914,5138395.94
85922,5138395.94
57330,5138395.94
48451,5138395.94
95889,5138395.94
18367,5138395.94
17622,5138395.94
19098,5138395.94
86188,5138395.94
98469,5138395.94
38033,5138395.94
99291,5138395.94
54602,5138395.94
46586,5138395.94
88164,5138395.94
1241,5138395.94
99922,5138395.94
68583,5138395.94
73127,5138395.94
51692,5138395.94
54990,5138395.94
21180,5138395.94
28721,5138395.94
95221,5138395.94
54543,5138395.94
48220,5138395.94
31784,5138395.94
40700,5138395.94
78053,5138395.94
5112,5138395.94
58419,5138395.94
87318,5138395.94
35085,5138395.94
74183,5138395.94
55665,5138395.94
9086,5138395.94
18103,5138395.94
42854,5138395.94
6901,5138395.94
